Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9
-2.286822788089164660e-03,1.478449144291983132e-02,-2.244778664037048455e-01,2.467616821594265375e-01,-1.900509876920346009e-01,2.015260541663244365e-01,-2.313322519768991337e-01,2.031933123950797337e-01,2.342388956795209420e-01,-4.872609849458112651e-04
-1.173680268660274879e-03,-1.593374769287485976e-03,-2.242107895311848120e-01,2.446685612835495238e-01,-1.753752321311635998e-01,2.026381707821983957e-01,-2.222929435920234786e-01,1.964037079721794865e-01,2.250326900730874602e-01,-7.449791760609863166e-03
5.224376764745880530e-03,-2.550441412399861302e-03,-2.156412635037165959e-01,2.506825335265561172e-01,-2.103702220159865410e-01,2.162646843144412079e-01,2.375263679701422048e-01,-1.880847491216225686e-01,-2.256818089597401045e-01,-1.848916479990523546e-04
-1.488173471556270520e-02,-1.046432214412838286e-04,-2.433712538817145721e-01,2.388568607336060134e-01,-2.055352721120036197e-01,2.075618496765335719e-01,2.448430600545240254e-01,-2.099032687994246416e-01,-2.335567121591375361e-01,2.411458433622119986e-03
4.114097947767030375e-03,-2.452946044288618899e-03,-2.219881179706801044e-01,2.460621877255808332e-01,-1.865419618457654083e-01,1.973599130589806239e-01,2.320608770928167253e-01,-2.008625169196985860e-01,2.339700692535559290e-01,6.050164550563100554e-03
-1.000383310347322148e-02,1.796671169107323153e-04,-2.164511186161505729e-01,2.259914745596012797e-01,-1.896083826819711382e-01,1.989141227120491406e-01,2.289206724062923526e-01,-2.041902934524737756e-01,2.329801494935450634e-01,-5.636245738531908168e-03
-1.032682068043042772e-02,-1.686729740049953052e-03,-2.205116678623366411e-01,2.331410745641663562e-01,-1.888944372105624270e-01,1.929354396868049881e-01,2.358133138459081457e-01,2.148985853270867497e-01,-2.307386148264599923e-01,3.494691264440272921e-03
8.571439941931060852e-04,1.083659975584042555e-02,-2.197311507738373137e-01,2.202684510133026963e-01,-2.068127839590234440e-01,1.837319296804023894e-01,2.403989424229434901e-01,1.989746659701188414e-01,-2.291014451195998447e-01,-1.324547343988246965e-02
4.211028688102908327e-03,-5.656392673877149932e-03,-2.116758427558120825e-01,2.444601953505544101e-01,-1.827503313670502394e-01,1.913228641968514887e-01,2.382379570774080524e-01,1.924820412851143137e-01,2.398961070145199104e-01,-1.345876283367202723e-03
3.943861940663972825e-03,5.502409939248965702e-03,-2.135359420081302251e-01,2.192119516229761866e-01,-1.822672557687067540e-01,1.886665391461118391e-01,2.252641270697194054e-01,2.005296416748244548e-01,2.215490971875585802e-01,-2.225292651148213824e-04
1.852368320996101644e-02,-1.127788047090027418e-02,-2.422013607758350395e-01,2.522906299717300738e-01,2.333096603293790816e-01,-2.104599723497769803e-01,-2.360227679069328011e-01,-2.079341252661728312e-01,-2.429071367098810386e-01,1.400995380114300297e-02
-5.789932542742545589e-03,-1.641184810133245603e-02,-2.287465304591356496e-01,2.397517757210815004e-01,2.096926291029489464e-01,-2.121612380259866593e-01,-2.514423712801512889e-01,-2.161541893382759594e-01,-2.560067878675614250e-01,7.411796735137839501e-03
1.431136444987945533e-03,-3.321634131575609741e-03,-2.223316012253331586e-01,2.412859457255892015e-01,2.060317645765304406e-01,-2.026672452820330872e-01,-2.345550805465099475e-01,-1.979321798191477355e-01,2.343024075164109321e-01,3.010433511769850749e-03
4.187524935083289206e-03,-1.359177525290988092e-02,-2.459712821390953319e-01,2.449865877650815871e-01,2.082777593463211174e-01,-2.078540981480312133e-01,-2.165756634466218244e-01,-2.136073938978398923e-01,2.253920456732059208e-01,1.105558780774891980e-03
-1.132938967030794331e-02,1.595541650242891937e-04,-2.458884204272784590e-01,2.590813520288755556e-01,2.198243081482736117e-01,-1.989134659139892292e-01,-2.455018676880753870e-01,2.214153340946724557e-01,-2.246279181331834462e-01,1.017278507610192007e-02
-4.056240216994308825e-03,1.266047350008298392e-02,-2.413852006620205437e-01,2.456989907064396905e-01,2.121618065783286711e-01,-1.949656865963625696e-01,-2.285062961168444762e-01,2.078397616682423621e-01,-2.373141455672295452e-01,1.053371876519211547e-02
-2.469632146387721640e-03,1.862153814205242145e-03,-2.212542860701492142e-01,2.372931427893984202e-01,1.995464286884515159e-01,-1.935016857181943162e-01,-2.122525099187898279e-01,1.912215275541461756e-01,2.410824734638022104e-01,-4.126146802612324499e-03
-1.223930621155567937e-02,1.825677178580627496e-04,-2.312073354913646017e-01,2.324388348107615521e-01,2.036396766426292193e-01,-1.965974408355713188e-01,-2.251148787232914172e-01,2.171896874179913006e-01,2.444375198674461624e-01,4.031402015524976172e-03
9.464849369749442007e-03,5.494227648226563104e-04,-2.313729077952399460e-01,2.427380876398358700e-01,2.070017179388851103e-01,-2.046038170584411064e-01,2.437439107222411638e-01,-1.959201741665800578e-01,-2.213983368797152462e-01,3.260457149563631470e-03
-3.014769867330470508e-03,8.545979307266551167e-03,-2.301548699226415584e-01,2.581585144495976980e-01,2.235491732110668484e-01,-2.034292145621233172e-01,2.463328521866233745e-01,-2.039615859957783772e-01,-2.316096650963668790e-01,-3.197672846171608404e-03
1.100737817024997640e-03,3.915149923821431392e-03,-2.236504197054919318e-01,2.376188542034736451e-01,2.103340348824970507e-01,-1.888179418413036825e-01,2.408581086565715901e-01,-1.808262694244547608e-01,2.187468860024085748e-01,-8.657893648629068697e-03
-9.341815507675706870e-03,-7.729206102126469249e-05,-2.183080538092340150e-01,2.237812774531377225e-01,2.000873780527307189e-01,-1.958042576822645320e-01,2.433750252910110989e-01,-2.008918027110988824e-01,2.317890084493139102e-01,-6.277234490853013426e-04
